doc,claim,true_label,predicted_label,probability
"In our current description of Nature, every particle is a wave in a field. The most familiar example of this is light: light is simultaneously a wave in the electromagnetic field and a stream of particles called photons.In the Higgs boson's case, the field came first. The Higgs field was proposed in 1964 as a new kind of field that fills the entire Universe and gives mass to all elementary particles. The Higgs boson is a wave in that field. Its discovery confirms the existence of the Higgs field.","It is a wave in the Higgs field, a field that fills the entire Universe and gives mass to all elementary particles .",1,1,0.884624183177948
"The SFA's performance director has been conducting a review since taking over from Mark Wotte. Across the seven schools involved throughout Scotland, 374 children receive up to 10 hours a week specialised coaching as part of their everyday studies. ""There's been a lot of time invested in this project by a lot of people and we're looking at how we continue to improve the programme as we travel through the years,"" McClair told BBC Scotland. The project is now in its fourth year, with this year's intake of pupils the final one of the initial scheme. McClair will decide in the coming months whether it will continue in its current format once an analysis of how it is working has been concluded. Alternatives could include certificating the programme to award pupils a Higher qualification for completing the course or focusing on a smaller group of children at one single, residential campus rather than the seven schools involved just now. At the very least, the current system will continue until this year's S1 pupils have completed fourth year. Gauging its success thus far is tricky, with the oldest participants still only in S4, but McClair believes there are some good indicators. ""I think you can be encouraged by the number of young people who have been in the performance schools who have been in the younger representative squads over the last three-and-a-bit years and the evidence suggests that will continue,"" he added. ""By summertime I think it'll be a half-decent measure of the number of young boys who are being offered the opportunity to go into full-time football, although I believe that's changing a little bit in the sense that it's 16 or 17 that some clubs are looking at taking them in full-time. ""The idea's great. Many clubs in England have taken it on board - getting kids in during the day, giving them more opportunities to practise the disciplines involved in football. ""The evidence is all there that they're improving quicker than they were previously under a hybrid programme where all the coaching was taking place in the evening or at weekends."" The other important gauge of success is academic achievement. Exam results will not be available from the SFA project until this summer, but Graeme High School in Falkirk ran a pilot scheme - of which Craig Sibbald and Celtic youngster Paul McMullan are graduates - that allows for some analysis. ""Last year we had a group of 14 or 15 and the vast majority were highly successful, able pupils, one with five Highers, two with four Highers, three with three Highers and a suite of other academic achievements,"" headteacher Lesley Carroll told BBC Scotland. ""Most of them have gone on to professional clubs but they have got a fallback position. They have been some of our top-performing academic pupils too because not only do they have to be elite athlete footballers, they have to have what the SFA would call a growth mindset. ""They're not afraid of targets, hard work, commitment, drive and confidence."" Indeed, Carroll believes there is an argument the programme helps the performance school students achieve better results in their other subjects, though she admits no ""real forensic research has been done into that"". But it will be the level of footballing development that determines exactly how McClair and the SFA proceed in terms of their future performance strategy.","The Scottish Football Association is considering the future of its performance school programme for young footballers, according to new chief executive Martin McClair.",0,1,0.7932264804840088
"It's no surprise which image is making the headlines from this week's gathering of leaders from nearly three dozen nations in Panama: A historic handshake between President Barack Obama and Cuban President Raul Castro. But this first meeting of Obama and Castro since they announced plans to start normalizing diplomatic ties should not be the end of the summit story. Or at least Obama is hoping it won't be. After all, the President has had some unhappy experiences at hemispheric summits, where the headlines have often focused on some less than flattering moments. The reality is that the United States has been losing ground in this increasingly important region, and Obama needs to put on a strong performance in Panama at the Summit of the Americas if the U.S. is to have a chance of improving ties with neighbors who should be best friends, but who have drifted away as America has been focused on challenges at home and instability in the Middle East. Unfortunately, America has lost influence in Latin America to a hyperactive China, a cunning Russia and a troubling Iran, all of which have made inroads in the region at Washington's expense. This gathering therefore offers a chance for the U.S. to reverse the tide and build on the potential offered by a natural alliance strengthened by millions of people with Latin American and Caribbean blood who make their homes in the United States. The foundations for a strong hemispheric bloc are there. But they need attention, and the Panama meeting offers a good opportunity to start building. But first: Do no harm. Large diplomatic gatherings are minutely orchestrated events, and the U.S., with its vast experience in preparing for high-level multilateral meetings, knows the importance of dotting the I's and crossing the T's. But this hasn't stopped recent summits descending into diplomatic and PR disasters for the U.S. Just look at the last summit, held in Cartagena, Colombia, which stayed in the news much longer than anyone expected after Secret Service agents embarrassed the United States by hiring prostitutes and bringing them to their hotel rooms, in violation of basic security protocols. They were reportedly caught after one of the women accused an agent of refusing to pay an agreed fee. As a result of all this, the Americans looked dumb, incompetent -- and cheap. And back in 2009, the President -- new on the job -- was caught flat footed by a fast-talking, fiery anti-American president of Venezuela. The late Hugo Chavez outplayed the leader of the free world, who had just taken office and was trying to show America's new ""outstretched hand"" toward the foe of the George W. Bush era. The summit hit a depressing low for the Obama administration when Chavez walked up to Obama and, as the cameras clicked, handed the American President a copy of the book ""Open Veins of Latin America,"" which blames the region's woes on the U.S. and Europe. Yet the problems in Cartagena weren't just symbolic. Regional leaders lined up against Washington, which had refused to include Cuba in the summit, and vowed they would not hold any more of the gatherings unless Havana was also invited. America was cornered. All this stands in contrast to the optimism of the early Clinton years, when the President issued an invitation to ""democratically elected"" heads of state of Latin America, which was then breaking the chains of military dictatorship. Back then, the U.S. had just led the creation of the North American Free Trade Agreement (NAFTA) and actually seemed to stand for something attractive to the region, namely democracy, free trade and economic growth. That's what it should aim for every time: articulating a clear vision and rallying neighbors behind it. Can Obama manage something similar this time? True, the President has come armed with his new Cuba policy. Unfortunately, in an effort to placate critics who say Obama is not doing more for pro-democracy activists, the White House has miscalculated with Venezuela, handing the repressive regime of Chavez's successor, Nicolas Maduro, a stick with which to beat the U.S. Obama has long and rightly ignored Maduro's claims that the U.S. planned to overthrow him. But a modest plan to impose sanctions has suddenly handed Maduro -- who has presided over an economic catastrophe in his country -- a way to portray himself a victim of the U.S., something he will no doubt play that up in Panama. All this risks again reviving memories of past tensions with Latin Americans who already have complicated feelings toward the U.S. over its Cold War support for unseemly right-wing dictators, a policy it claimed to pursue in the name of preventing Soviet-backed communism from taking hold. But those days are behind us. Today, the people want prosperity, they want democracy, and they want the rule of law -- all of which leave a potential opening for the United States. Too many national leaders are eroding democratic norms: Opposition leaders are in prison in Venezuela; a prosecutor who criticized the President was found dead in Argentina; press freedom is under siege in several countries; and corruption is reaching new highs. All of this suggests that if Obama plays his cards right, he will have the opportunity to explain to the people of Latin America that their goals are also America's goals; that like them, he supports democracy, human rights, the rule of law, full freedom of expression and free elections in every country. The fact that he met with Cuban dissidents was welcome, and sends a message that he is not neglecting other issues such as human rights as he recasts relations with Cuba. For the millions in Latin America that still live in poverty, these freedoms can seem like a distant luxury. But if Obama can show them that the United States is a true partner in efforts to improve their lives, then he will leave a longer-lasting legacy in the region than just a handshake.
","The author notes that the summit offers an opportunity for the US to improve relations with its neighbors, which have been strained in recent years due to factors such as the US focus on the Middle East and the rise of China, Russia, and Iran in the region.",1,1,0.731431245803833
"As Saudi forces pounded southern Yemen with a fresh series of airstrikes Wednesday, Houthi rebels called for peace talks. The U.N.-sponsored talks should resume ""but only after a complete halt of attacks,"" Houthi spokesman Mohammed Abdulsalam said in a Facebook post. The previous round of talks between Houthi rebels and the government of Yemeni President Abdu Rabu Mansour Hadi failed in January after rebels attacked the President's personal residence and presidential palace in Sanaa, the Yemeni capital. On Tuesday, Saudi Arabia announced the end of its Operation Decisive Storm, a nearly monthlong air campaign against Houthi positions. The Saudi-led coalition said a new initiative was underway, Operation Renewal of Hope, focused on the political process. But less than 24 hours later, after rebel forces attacked a Yemeni government military brigade, the airstrikes resumed, according to security sources in Taiz. Five airstrikes targeted a weapons depot in the province late Wednesday, two Taiz security officials said. Explosions lasted for about 40 minutes, they said. It was unclear whether it was a resumption of the operation or a short-term series of strikes. Meanwhile, Houthis released Yemeni Defense Minister Mahmoud al-Subaihi in Sanaa on Wednesday, according to a senior Saudi source speaking on condition of anonymity. The Houthis had said they detained the defense minister at an air base near the Yemeni port city of Aden on March 26, shortly before the Saudis began their airstrike campaign. The rebels captured the base that day as part of an advance on the Aden area. The United Nations demanded al-Subaihi's release earlier this month. Saudi Arabia and its coalition partners launched airstrikes on Houthi positions across Yemen starting on March 26, hoping to wipe out the Iranian-allied rebel group that overthrew the government and seized power. The Saudis say they want to restore the Yemeni government -- a key U.S. ally in the fight against al Qaeda -- which was kicked out of the capital by the rebels earlier this year. This month, Saudi officials said airstrikes have degraded Houthi-controlled military infrastructure, including key buildings in Sanaa. The campaign achieved its objectives ""by a very good planning, very precise execution, by the courage of our pilots, our sailors, our soldiers,"" said Brig. Gen. Ahmed Asiri, a Saudi military spokesman. A senior Saudi official told CNN that the Houthis agreed to ""nearly all demands"" of the U.N. Security Council. Former Yemeni President Ali Abdullah Saleh and his family will leave Yemen and never return for a position in politics, the source said. A statement from the Saudi Embassy in Washington outlined objectives of the next phase of operations, including protecting civilians, enhancing humanitarian and medical assistance, confronting terrorism and creating an international coalition to provide maritime security. Ground troops will continue to protect the border and confront any attempts to destabilize the situation, Asiri said. Military action will be taken if needed. Houthi leader: 'Anyone who thinks we will surrender is dreaming' But beyond the military campaign, the Saudis and their allies have said they want to find a political solution for the violence-plagued nation. The aim is to bring back ""security and stability through establishing a political process,"" said a statement from Saudi Arabia, the United Arab Emirates, Bahrain, Qatar and Kuwait. Hadi, who claims he's Yemen's legitimate leader, thanked the Saudi-led coalition. He is working with the Saudis and other allies to return to his country. ""We promise to restructure the Yemen military to ensure that it serves the people of Yemen,"" Hadi said, calling on the Houthis to withdraw, and saying that he would return to Yemen at ""the right time"" to rebuild the country. ""You will witness many changes in the days to come in our mission to build an institutional government and military, far from rebel militancy,"" said Hadi. In the country's south, security officials on Wednesday reported two U.S. drone strikes against al Qaeda militants in Mukalla. Six suspected militants died in the attack. This is the second drone strike in three days. On Monday, six militants were killed when drone strikes targeted two vehicles in Shabwah, west of Mukalla. A U.S. military official told CNN on Tuesday that the United States is conducting ""manned reconnaissance"" off Yemen. The official stressed that the repositioning of U.S. ships over the last few days was not done to interdict Iranian ships, but to ensure freedom of navigation and maritime security. Why is Saudi Arabia bombing Yemen? CNN's Nic Robertson, Salim Essaid, Jethro Mullen, Tim Lister, Anas Hamdan, Jamie Crawford and journalist Hakim Almasmari contributed to this report.
","The Houthi rebels released Yemeni Defense Minister Mahmoud al-Subaihi, who had been held since March 26.",1,1,0.9829839468002319
"A longtime friend of Joni Mitchell has filed a legal petition seeking to be named the singer-songwriter's conservator. Mitchell, who was inducted into the Rock and Roll Hall of Fame in 1997, was taken to UCLA Medical Center a month ago after being found unconscious in her home. She remains at the hospital, according to Leslie Morris' court petition filed April 28. Morris is described as Mitchell's friend of more than 44 years in the legal documents. Whether the folk and jazz singer is conscious remains a matter of some confusion. In her April 28 petition, Morris says Mitchell is unconscious: ""At this time she (Mitchell) remains unconscious and unable to make any responses, and is therefore unable to provide for any of her personal needs."" But on Mitchell's website, a statement posted the same day that says it was approved by Morris says Mitchell is alert. ""Contrary to rumors circulating on the Internet today, Joni is not in a coma. Joni is still in the hospital -- but she comprehends, she's alert, and she has her full senses. A full recovery is expected. The document obtained by a certain media outlet simply gives her longtime friend Leslie Morris the authority -- in the absence of 24-hour doctor care -- to make care decisions for Joni once she leaves the hospital."" When asked about the discrepancy between statements about Mitchell's health on her website and in the legal filing, her publicist, Alisse Kingsley, responded that ""the website"" was accurate. A doctor's capacity declaration stated that Mitchell will likely be unable, due to her medical condition, to attend any court hearings for the next four to six months. Adoring fans are posting their tributes to Mitchell at WeLoveYouJoni.com. Sonya Hamasaki and Cheri Mossburg contributed to this report.
","However, a statement on Mitchell's website approved by Morris contradicts this and says that she is alert and expected to fully recover.",1,1,0.9589778780937195
"{'question': 'how to wash wine glasses properly', 'passages': ""passage 1:1 If hot water and mild detergent can’t get your glasses clean, use baking soda to remove any stubborn wine residue. 2  Dissolve a small amount of soda with hot water and let it stand in the glass for a few minutes. 3  The soda will dissolve any residual wine adhering to the glass.\n\npassage 2:3. To clean the inside of a glass, use a stemware brush with soft-foam bristles. 4. After rinsing thoroughly with hot water, dry the wine glasses with a smooth lint-free cloth, such as a microfiber or flour sack towel. Editor's Tip: Red wine can leave stains if left overnight.\n\npassage 3:Clean Your Wine Glasses by Hand. The safest cleaning method for your wine glasses is to scrub them by hand. Follow these tips to avoid chips and spots. 1. Lay a towel in the sink before filling with hot water. Wash one wine glass at a time to avoid damage. 2. To keep soap from flavoring your next glass of wine, use a small amount of detergent and use it only where it's needed -- in the bottom of the glass and around the rim. Cradle the bowl of the glass in one hand while washing to protect the stem.\n\n""}","To wash wine glasses properly, start by using hot water and mild detergent to clean the outside of the glass.",1,0,0.32022449374198914
"Angelman Syndrome | Pediatrics Clerkship | The University of Chicago trouble sleeping more than 5 hours at a time. Physical manifestations include delayed motor development followed by movement and balance disorders, most commonly ataxia and tremulous limb movement. Patients often suffer feeding difficulties in infancy with poor suck and swallow. Children may develop hand-flapping movements and hypermotor tendencies (including frequent mouthing behavior). Patients will often walk with jerky body movements, a stiff legged gait, and arms in the air. Source: http://cidd.unc.edu/Angelman-Syndrome Physical findings include postnatal microcephaly, small flat occiput, a protruding thrusting tongue, prominent jaw, strabismus, and hypopigmentation of the skin, hair, and eyes. Interestingly, patients with Angelman Syndrome demonstrate","Seborrheic skin, microcephaly, and a prominent jaw may also be indicative of this syndrome .",0,0,0.059683363884687424
"{'name': 'American Ale', 'address': '14 E Cota St', 'city': 'Santa Barbara', 'state': 'CA', 'categories': 'Nightlife, Pubs, Beer, Wine & Spirits, American (Traditional), Burgers, Bars, Food, Restaurants', 'hours': None, 'attributes': {'BusinessParking': {'garage': True, 'street': True, 'validated': True, 'lot': False, 'valet': False}, 'RestaurantsReservations': False, 'OutdoorSeating': True, 'WiFi': 'no', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': {'touristy': False, 'hipster': True, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}}, 'business_stars': 4.0, 'review_info': [{'review_stars': 1.0, 'review_date': '2017-04-19 21:30:45', 'review_text': 'WTF.. first the Cota street one closes or ""relocates"" to Union Ale.. opps, Yankee noodle.. almost forgot about the 3 month debacle. Then all I want is a PBnJ burger and American Ale 2.0 is done.. ugh. Disappointing. wish the business was run as well as the food tasted.'}, {'review_stars': 4.0, 'review_date': '2017-01-29 15:34:16', 'review_text': 'I write these as I craving for one more   piece of a delicious  burger. Tears comes out of my eyes and joy comes out of every corner in the world.'}, {'review_stars': 3.0, 'review_date': '2017-01-27 13:13:04', 'review_text': 'The food was wonderful and the service was good. But all the impression is spoiled a dirty floor in the bathroom.'}]}",They also offer takeout options and are suitable for groups.,1,1,0.9822101593017578
"Chris Copeland of the Indiana Pacers was stabbed after leaving a trendy New York nightclub early Wednesday, and two Atlanta Hawks -- who had just finished a home game hours before the incident -- were among those arrested, according to police and CNN affiliates. The Hawks were not involved in the stabbing incident, police said, but were arrested on obstruction and other charges later. Though New York Police Department Det. Kelly Ort initially told CNN the incident occurred just before 4 a.m. at 1OAK, a club in New York's Chelsea neighborhood known to draw celebrities among its clientele, the club later told CNN that the stabbing occurred in front of the Fulton Houses project down the street. ""1OAK staff was unaware of the incident when it happened, as it occurred beyond their view in a different location. However, 1OAK's team assisted Mr. Copeland to their fullest capabilities, and called for help as soon as he was seen walking back towards the venue,"" the statement said. The statement continued, ""A review of the video footage seems to reveal the incident did not originate from the venue or its immediate surroundings that are under 1OAK supervision."" Copeland and a female companion, Katrine Saltara, were in the club for about 10 minutes before leaving and walking down the street toward Fulton Houses, where their car was parked, said a 1OAK spokesperson. The spokesperson gave CNN additional details on condition of anonymity because 1OAK's legal team had approved only the club's official statement. The suspect, who the spokesperson said never entered 1OAK, stabbed Copeland and Saltara in front of Fulton Houses, and according to the club's statement, ""Mr. Copeland's driver sprang to accost and detain the apparent perpetrator and that individual is now in police custody."" Charges against the suspect are pending, and his name will be released once charges are filed, Ort said. Copeland and Saltara tried to make their way back to the club to seek help from the 20 or so security personnel on hand, leaving a ""bloody trail of handprints"" between the site of the stabbing and the club, the spokesperson said. Copeland ""almost landed right next to the club,"" the spokesperson said, adding that surveillance footage will not show the actual stabbing because it occurred too far away from the club. The club shut down immediately after the incident, the spokesperson said. A male and two females were taken to area hospitals, Ort said. A knife was recovered, a suspect was arrested and two individuals not involved in the dispute -- the Hawks' Pero Antic, 32, and Thabo Sefolosha, 30 -- were arrested on charges of obstructing governmental administration and disorderly conduct, she said. Sefolosha faces an additional charge of resisting arrest, Ort said. Word of the stabbing quickly spread through the club, reaching Antic and Sefolosha, who went outside to check on their friend, Copeland, the 1OAK spokesperson said. At one point, the two began pushing their way through a crowd that had gathered around the scene, leading to their arrests, the spokesperson said. ""We will contest these charges and look forward to communicating the facts of the situation at the appropriate time,"" the players said in a joint statement released by the team. ""We apologize to our respective families, teammates, and the Hawks' organization for any negative attention this incident has brought upon them."" The Hawks are in New York for a Wednesday night game against the Brooklyn Nets. Neither player will be in uniform, the team said. Police released little information Wednesday, but local media identified the injured man as Copeland, 31, who is from Orange, New Jersey. The Pacers released a statement saying Copeland suffered a knife wound to his left elbow and abdomen, and he's in stable condition at a New York hospital. ""We are aware that Chris Copeland was injured early this morning in New York City. We are still gathering information and will update when we know more. Our thoughts are with Chris and those injured,"" Larry Bird, the Pacers' president of basketball operations, said in a statement. Copeland's agent, John Spencer, issued a statement saying, ""We're concerned about the safety of Chris and Katrine. We don't have any details at this particular time. All we can do is pray and wait."" The NBA and the Hawks front office said they were looking into the incident. ""We are aware of the situation involving Pero Antic and Thabo Sefolosha this morning. We are in the process of gathering more information and will have further comment at the appropriate time,"" Hawks spokesman Garin Narain said in an email. Copeland's Pacers are slated to play the New York Knicks on Wednesday night. The pair apparently had only recently arrived in New York prior to their arrests, as both were on the court for the Hawks' 96-69 win over the Phoenix Suns in Atlanta on Tuesday night. Antic played 12 minutes, and Sefolosha played 20. The game ended around 10 p.m. Copeland, a former Knick, was near the nightclub with Saltara when a 22-year-old Brooklyn man approached them, police told CNN affiliate WABC. There was some sort of dispute before the suspect stabbed the 6-foot-8-inch Copeland in the abdomen, slashed Saltara and then slashed another woman, the station reported. Saltara suffered cuts to her arm, breast and buttock, and the other woman suffered a slash to her stomach, CNN affiliate WCBS reported. While WCBS reported that the second woman was 53 years old, WABC reported she was 23. Images published in the New York Daily News showed a considerable amount of blood on the sidewalk and a white sports coupe, roped off with police tape, with several streaks of blood on its driver's side. Antic and Sefolosha interfered with officers trying to establish a crime scene, and one of the Hawks pushed a police officer, WABC reported. The Hawks are preparing for a historic playoff run after clinching the No. 1 seed in the NBA's Eastern Conference. Tuesday's win over the Suns marked a franchise-best 58 wins in a season for the club. The Pacers sit in the conference's 10th spot but are only one game out of playoff contention. CNN's Laura Ly, Jason Durand and Jill Martin contributed to this report.
",The Pacers have confirmed that Copeland suffered a knife wound to his left elbow and abdomen and is in stable condition at a New York hospital.,1,0,0.005471303127706051
"{'name': 'Pro Karaoke System Rentals', 'address': '', 'city': 'Santa Barbara', 'state': 'CA', 'categories': 'Party & Event Planning, Music Venues, Event Planning & Services, Nightlife, Arts & Entertainment', 'hours': None, 'attributes': {'BusinessParking': None, 'RestaurantsReservations': None, 'OutdoorSeating': None, 'WiFi': None, 'RestaurantsTakeOut': None, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': None}, 'business_stars': 5.0, 'review_info': [{'review_stars': 5.0, 'review_date': '2017-03-08 01:05:16', 'review_text': 'The Mike is very service-oriented, friendly and gave great advice. He made it all very simple, and for me that could be a challenge,  the speakers were set up to provide great sound.\nHe is a local guy, knows all the best stories and really works to make it simple for you, but also a great deal of fun.'}, {'review_stars': 5.0, 'review_date': '2016-05-05 20:42:54', 'review_text': 'I celebrated my birthday with 15 friends recently, and rented a private event room in a local restaurant here in Santa Barbara. Mike was there right on time to set up the system and show me how to use it. When we were done for the night, we left the system there for him to pick up. Everything I needed was provided: a couple of mics, a few songbooks, and a signup sheet. The system itself was very easy to use, and I appreciated being able to adjust as needed, from the key of the song to the volume of both the music and the singer. It\'s nice not to have to shout to be heard over karaoke in a regular bar, and I loved being able to adjust the key even mid-song! The song selection was big and varied, and having the songbook available as a PDF was very helpful: several of us downloaded the PDF onto our phones/tablets, which made it easier to search for songs, both during and before the event. My friends and I had a blast! We loved not having to wait hours till our next turn, and experimenting with songs that we would ordinarily be too shy to try ""in public"". What a terrific service overall, and at such a great price. Can\'t wait to use this again for our next event!'}, {'review_stars': 5.0, 'review_date': '2014-12-23 17:29:15', 'review_text': ""We just used this service for about the fifth time...we use it for all of our parties.  Pro Karaoke Systems not only provides you with instant party entertainment, but the owner makes the whole experience SO easy.  First he emailed us a PDF version of the song book weeks in advance so we could pick out a few songs ahead of our event.  The machine comes with easy to follow personalized instructions and the owner will deliver and walk you through the whole setup as well. And last but not least, every time we've used this service the machine is always up to date with the latest hit songs, which makes the party that much more fun.  Highly recommended!""}]}",Mike ensures that the karaoke system is set up to provide great sound and makes the process simple for customers.,1,1,0.9035631418228149
