claim_id,model,claim_tokens,retrieved_docs,retrieved_doc_tokens_total,retrieved_total_tokens,evidence_docs,evidence_doc_tokens_total,evidence_total_tokens
7,paragraph_joint,22,50,455,477,1,2,24
8,paragraph_joint,27,50,593,620,0,0,27
16,paragraph_joint,20,50,486,506,0,0,20
23,paragraph_joint,25,50,589,614,0,0,25
29,paragraph_joint,22,50,548,570,4,42,64
31,paragraph_joint,23,50,528,551,1,10,33
33,paragraph_joint,16,50,540,556,2,20,36
38,paragraph_joint,17,50,491,508,0,0,17
59,paragraph_joint,22,50,441,463,1,6,28
65,paragraph_joint,14,50,491,505,0,0,14
83,paragraph_joint,25,50,486,511,0,0,25
84,paragraph_joint,17,50,430,447,1,6,23
87,paragraph_joint,18,50,395,413,1,6,24
97,paragraph_joint,18,50,541,559,1,19,37
101,paragraph_joint,18,50,442,460,0,0,18
102,paragraph_joint,15,50,494,509,0,0,15
103,paragraph_joint,32,50,486,518,0,0,32
107,paragraph_joint,18,50,528,546,7,53,71
110,paragraph_joint,24,50,443,467,1,5,29
117,paragraph_joint,21,50,513,534,3,24,45
125,paragraph_joint,25,50,445,470,0,0,25
131,paragraph_joint,13,50,485,498,2,26,39
135,paragraph_joint,24,50,552,576,0,0,24
136,paragraph_joint,20,50,556,576,0,0,20
145,paragraph_joint,34,50,456,490,2,22,56
147,paragraph_joint,33,50,475,508,2,20,53
150,paragraph_joint,14,50,448,462,2,14,28
151,paragraph_joint,10,50,424,434,4,37,47
158,paragraph_joint,26,50,447,473,7,68,94
162,paragraph_joint,16,50,430,446,3,26,42
170,paragraph_joint,11,50,483,494,26,266,277
188,paragraph_joint,28,50,373,401,1,7,35
190,paragraph_joint,30,50,445,475,0,0,30
191,paragraph_joint,16,50,492,508,2,19,35
192,paragraph_joint,16,50,514,530,2,19,35
193,paragraph_joint,20,50,446,466,1,9,29
194,paragraph_joint,20,50,388,408,0,0,20
195,paragraph_joint,20,50,384,404,0,0,20
202,paragraph_joint,24,50,489,513,7,63,87
206,paragraph_joint,13,50,392,405,1,6,19
207,paragraph_joint,13,50,492,505,7,73,86
215,paragraph_joint,12,50,394,406,0,0,12
231,paragraph_joint,23,50,463,486,1,10,33
234,paragraph_joint,19,50,455,474,3,20,39
240,paragraph_joint,14,50,440,454,0,0,14
257,paragraph_joint,15,50,448,463,0,0,15
260,paragraph_joint,22,50,468,490,2,19,41
270,paragraph_joint,9,50,488,497,0,0,9
